기준연월,여행유형/트렌드명,언급건수
202310,휴식/힐링,1820
202308,레포츠,1619
202305,레포츠,1527
202401,레포츠,1284
202305,휴식/힐링,1126
202310,레포츠,1123
202309,휴식/힐링,1109
202304,레포츠,1094
202308,휴식/힐링,1050
202312,휴식/힐링,1013
202306,레포츠,1012
202403,레포츠,1010
202311,휴식/힐링,932
202304,휴식/힐링,926
202306,휴식/힐링,919
202307,레포츠,863
202311,레포츠,834
202312,레포츠,808
202307,휴식/힐링,737
202309,레포츠,671
202402,휴식/힐링,662
202403,휴식/힐링,645
202401,휴식/힐링,625
202402,레포츠,591
202304,체험,582
202403,기타,491
202305,체험,430
202310,기타,418
202310,체험,325
202305,기타,304
202306,기타,301
202311,기타,301
202402,기타,287
202402,체험,266
202308,체험,264
202309,기타,263
202312,기타,262
202304,기타,256
202307,기타,254
202308,기타,231
202306,체험,223
202401,기타,222
202403,체험,195
202312,체험,175
202309,체험,154
202311,체험,136
202401,체험,106
202307,체험,103
202402,미식,65
202305,미식,43
202306,미식,41
202310,미식,41
202312,미식,36
202308,미식,36
202307,미식,34
202311,미식,33
202309,미식,28
202403,미식,25
202401,미식,24
202304,미식,23
