행정구역,2022년10월_총인구수,2022년10월_세대수,2022년10월_세대당 인구,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년10월_남여 비율,2022년11월_총인구수,2022년11월_세대수,2022년11월_세대당 인구,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년11월_남여 비율,2022년12월_총인구수,2022년12월_세대수,2022년12월_세대당 인구,2022년12월_남자 인구수,2022년12월_여자 인구수,2022년12월_남여 비율,2023년01월_총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,2023년03월_총인구수,2023년03월_세대수,2023년03월_세대당 인구,2023년03월_남자 인구수,2023년03월_여자 인구수,2023년03월_남여 비율,2023년04월_총인구수,2023년04월_세대수,2023년04월_세대당 인구,2023년04월_남자 인구수,2023년04월_여자 인구수,2023년04월_남여 비율,2023년05월_총인구수,2023년05월_세대수,2023년05월_세대당 인구,2023년05월_남자 인구수,2023년05월_여자 인구수,2023년05월_남여 비율,2023년06월_총인구수,2023년06월_세대수,2023년06월_세대당 인구,2023년06월_남자 인구수,2023년06월_여자 인구수,2023년06월_남여 비율,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율,2023년08월_총인구수,2023년08월_세대수,2023년08월_세대당 인구,2023년08월_남자 인구수,2023년08월_여자 인구수,2023년08월_남여 비율,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율,2023년10월_총인구수,2023년10월_세대수,2023년10월_세대당 인구,2023년10월_남자 인구수,2023년10월_여자 인구수,2023년10월_남여 비율,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율,2023년12월_총인구수,2023년12월_세대수,2023년12월_세대당 인구,2023년12월_남자 인구수,2023년12월_여자 인구수,2023년12월_남여 비율,2024년01월_총인구수,2024년01월_세대수,2024년01월_세대당 인구,2024년01월_남자 인구수,2024년01월_여자 인구수,2024년01월_남여 비율,2024년02월_총인구수,2024년02월_세대수,2024년02월_세대당 인구,2024년02월_남자 인구수,2024년02월_여자 인구수,2024년02월_남여 비율,total population,2024년03월_세대수,2024년03월_세대당 인구,2024년03월_남자 인구수,2024년03월_여자 인구수,2024년03월_남여 비율
Gyeongju,"249,928","124,003",2.02,"125,075","124,853",1,"249,845","124,055",2.01,"124,992","124,853",1,"249,607","124,027",2.01,"124,909","124,698",1,"249,320","123,983",2.01,"124,780","124,540",1,"248,893","124,099",2.01,"124,557","124,336",1,"248,794","124,275",2,"124,489","124,305",1,"248,737","124,355",2,"124,477","124,260",1,"248,726","124,552",2,"124,457","124,269",1,"248,510","124,557",2,"124,363","124,147",1,"248,453","124,672",1.99,"124,360","124,093",1,"248,335","124,742",1.99,"124,334","124,001",1,"248,244","124,772",1.99,"124,299","123,945",1,"248,058","124,744",1.99,"124,229","123,829",1,"247,762","124,679",1.99,"124,094","123,668",1,"247,489","124,577",1.99,"123,906","123,583",1,"247,124","124,441",1.99,"123,726","123,398",1,"246,708","124,494",1.98,"123,548","123,160",1,"246,371","124,683",1.98,"123,389","122,982",1
경상북도 경주시 감포읍(4713025000),"5,349","3,184",1.68,"2,669","2,680",1,"5,345","3,181",1.68,"2,660","2,685",0.99,"5,347","3,176",1.68,"2,663","2,684",0.99,"5,351","3,185",1.68,"2,665","2,686",0.99,"5,334","3,176",1.68,"2,653","2,681",0.99,"5,316","3,164",1.68,"2,650","2,666",0.99,"5,331","3,161",1.69,"2,659","2,672",1,"5,323","3,167",1.68,"2,654","2,669",0.99,"5,306","3,159",1.68,"2,648","2,658",1,"5,292","3,160",1.67,"2,653","2,639",1.01,"5,285","3,159",1.67,"2,648","2,637",1,"5,274","3,158",1.67,"2,642","2,632",1,"5,264","3,164",1.66,"2,636","2,628",1,"5,254","3,157",1.66,"2,630","2,624",1,"5,253","3,158",1.66,"2,623","2,630",1,"5,225","3,150",1.66,"2,607","2,618",1,"5,228","3,158",1.66,"2,614","2,614",1,"5,221","3,153",1.66,"2,611","2,610",1
경상북도 경주시 안강읍(4713025300),"23,601","12,099",1.95,"11,660","11,941",0.98,"23,601","12,118",1.95,"11,662","11,939",0.98,"23,568","12,133",1.94,"11,652","11,916",0.98,"23,526","12,152",1.94,"11,647","11,879",0.98,"23,512","12,182",1.93,"11,635","11,877",0.98,"23,499","12,194",1.93,"11,626","11,873",0.98,"23,468","12,206",1.92,"11,607","11,861",0.98,"23,413","12,208",1.92,"11,581","11,832",0.98,"23,386","12,194",1.92,"11,570","11,816",0.98,"23,337","12,195",1.91,"11,544","11,793",0.98,"23,312","12,212",1.91,"11,533","11,779",0.98,"23,273","12,217",1.9,"11,528","11,745",0.98,"23,279","12,209",1.91,"11,537","11,742",0.98,"23,236","12,207",1.9,"11,518","11,718",0.98,"23,199","12,202",1.9,"11,496","11,703",0.98,"23,134","12,186",1.9,"11,470","11,664",0.98,"23,135","12,226",1.89,"11,475","11,660",0.98,"23,066","12,213",1.89,"11,456","11,610",0.99
경상북도 경주시 건천읍(4713025600),"9,136","5,120",1.78,"4,630","4,506",1.03,"9,149","5,131",1.78,"4,640","4,509",1.03,"9,133","5,131",1.78,"4,632","4,501",1.03,"9,155","5,135",1.78,"4,645","4,510",1.03,"9,121","5,142",1.77,"4,624","4,497",1.03,"9,089","5,113",1.78,"4,606","4,483",1.03,"9,097","5,117",1.78,"4,616","4,481",1.03,"9,084","5,110",1.78,"4,603","4,481",1.03,"9,061","5,111",1.77,"4,594","4,467",1.03,"9,059","5,104",1.77,"4,598","4,461",1.03,"9,046","5,107",1.77,"4,592","4,454",1.03,"9,043","5,110",1.77,"4,583","4,460",1.03,"9,036","5,110",1.77,"4,582","4,454",1.03,"9,017","5,105",1.77,"4,567","4,450",1.03,"9,001","5,106",1.76,"4,560","4,441",1.03,"8,963","5,104",1.76,"4,540","4,423",1.03,"8,919","5,098",1.75,"4,519","4,400",1.03,"8,898","5,088",1.75,"4,506","4,392",1.03
경상북도 경주시 외동읍(4713025900),"22,273","11,947",1.86,"11,745","10,528",1.12,"22,245","11,943",1.86,"11,717","10,528",1.11,"22,179","11,930",1.86,"11,693","10,486",1.12,"22,138","11,922",1.86,"11,681","10,457",1.12,"22,115","11,916",1.86,"11,685","10,430",1.12,"22,078","11,912",1.85,"11,659","10,419",1.12,"22,046","11,913",1.85,"11,643","10,403",1.12,"22,073","11,938",1.85,"11,647","10,426",1.12,"22,068","11,947",1.85,"11,639","10,429",1.12,"22,037","11,939",1.85,"11,607","10,430",1.11,"22,008","11,918",1.85,"11,601","10,407",1.11,"22,003","11,903",1.85,"11,589","10,414",1.11,"21,906","11,863",1.85,"11,545","10,361",1.11,"21,862","11,833",1.85,"11,533","10,329",1.12,"21,850","11,816",1.85,"11,521","10,329",1.12,"21,798","11,808",1.85,"11,479","10,319",1.11,"21,800","11,816",1.84,"11,507","10,293",1.12,"21,756","11,822",1.84,"11,490","10,266",1.12
경상북도 경주시 문무대왕면(4713031500),"4,106","2,320",1.77,"2,146","1,960",1.09,"4,107","2,318",1.77,"2,148","1,959",1.1,"4,097","2,324",1.76,"2,141","1,956",1.09,"4,087","2,324",1.76,"2,134","1,953",1.09,"4,079","2,328",1.75,"2,131","1,948",1.09,"4,087","2,336",1.75,"2,137","1,950",1.1,"4,107","2,345",1.75,"2,151","1,956",1.1,"4,164","2,353",1.77,"2,174","1,990",1.09,"4,160","2,341",1.78,"2,168","1,992",1.09,"4,164","2,342",1.78,"2,171","1,993",1.09,"4,191","2,358",1.78,"2,185","2,006",1.09,"4,178","2,348",1.78,"2,179","1,999",1.09,"4,179","2,348",1.78,"2,187","1,992",1.1,"4,166","2,344",1.78,"2,176","1,990",1.09,"4,157","2,341",1.78,"2,175","1,982",1.1,"4,148","2,343",1.77,"2,167","1,981",1.09,"4,118","2,332",1.77,"2,150","1,968",1.09,"4,126","2,339",1.76,"2,156","1,970",1.09
경상북도 경주시 양남면(4713032000),"6,322","3,540",1.79,"3,345","2,977",1.12,"6,320","3,541",1.78,"3,343","2,977",1.12,"6,324","3,552",1.78,"3,345","2,979",1.12,"6,310","3,546",1.78,"3,328","2,982",1.12,"6,331","3,564",1.78,"3,349","2,982",1.12,"6,336","3,565",1.78,"3,351","2,985",1.12,"6,358","3,582",1.77,"3,358","3,000",1.12,"6,382","3,593",1.78,"3,370","3,012",1.12,"6,378","3,600",1.77,"3,372","3,006",1.12,"6,401","3,610",1.77,"3,376","3,025",1.12,"6,417","3,627",1.77,"3,396","3,021",1.12,"6,407","3,630",1.77,"3,398","3,009",1.13,"6,398","3,626",1.76,"3,390","3,008",1.13,"6,408","3,633",1.76,"3,402","3,006",1.13,"6,381","3,625",1.76,"3,392","2,989",1.13,"6,372","3,631",1.75,"3,389","2,983",1.14,"6,330","3,629",1.74,"3,375","2,955",1.14,"6,333","3,630",1.74,"3,371","2,962",1.14
경상북도 경주시 내남면(4713033000),"4,591","2,657",1.73,"2,333","2,258",1.03,"4,575","2,645",1.73,"2,324","2,251",1.03,"4,577","2,641",1.73,"2,328","2,249",1.04,"4,578","2,636",1.74,"2,331","2,247",1.04,"4,560","2,628",1.74,"2,328","2,232",1.04,"4,556","2,626",1.73,"2,320","2,236",1.04,"4,566","2,628",1.74,"2,319","2,247",1.03,"4,559","2,621",1.74,"2,311","2,248",1.03,"4,557","2,618",1.74,"2,306","2,251",1.02,"4,556","2,619",1.74,"2,303","2,253",1.02,"4,552","2,624",1.73,"2,305","2,247",1.03,"4,560","2,631",1.73,"2,315","2,245",1.03,"4,554","2,634",1.73,"2,308","2,246",1.03,"4,546","2,636",1.72,"2,306","2,240",1.03,"4,534","2,633",1.72,"2,300","2,234",1.03,"4,519","2,634",1.72,"2,297","2,222",1.03,"4,513","2,632",1.71,"2,289","2,224",1.03,"4,512","2,639",1.71,"2,288","2,224",1.03
경상북도 경주시 산내면(4713034000),"3,235","2,048",1.58,"1,601","1,634",0.98,"3,243","2,054",1.58,"1,604","1,639",0.98,"3,225","2,047",1.58,"1,602","1,623",0.99,"3,228","2,049",1.58,"1,605","1,623",0.99,"3,228","2,057",1.57,"1,603","1,625",0.99,"3,236","2,063",1.57,"1,605","1,631",0.98,"3,241","2,074",1.56,"1,610","1,631",0.99,"3,240","2,073",1.56,"1,612","1,628",0.99,"3,236","2,068",1.56,"1,611","1,625",0.99,"3,227","2,067",1.56,"1,599","1,628",0.98,"3,218","2,062",1.56,"1,595","1,623",0.98,"3,214","2,055",1.56,"1,598","1,616",0.99,"3,206","2,056",1.56,"1,601","1,605",1,"3,207","2,062",1.56,"1,601","1,606",1,"3,218","2,065",1.56,"1,602","1,616",0.99,"3,211","2,067",1.55,"1,609","1,602",1,"3,212","2,071",1.55,"1,605","1,607",1,"3,200","2,067",1.55,"1,593","1,607",0.99
경상북도 경주시 서면(4713035000),"3,083","1,832",1.68,"1,558","1,525",1.02,"3,082","1,832",1.68,"1,557","1,525",1.02,"3,084","1,830",1.69,"1,560","1,524",1.02,"3,087","1,834",1.68,"1,560","1,527",1.02,"3,084","1,832",1.68,"1,564","1,520",1.03,"3,068","1,823",1.68,"1,558","1,510",1.03,"3,069","1,821",1.69,"1,561","1,508",1.04,"3,068","1,824",1.68,"1,559","1,509",1.03,"3,062","1,823",1.68,"1,554","1,508",1.03,"3,063","1,821",1.68,"1,554","1,509",1.03,"3,061","1,820",1.68,"1,551","1,510",1.03,"3,052","1,812",1.68,"1,546","1,506",1.03,"3,040","1,804",1.69,"1,537","1,503",1.02,"3,034","1,800",1.69,"1,531","1,503",1.02,"3,031","1,802",1.68,"1,533","1,498",1.02,"3,010","1,801",1.67,"1,523","1,487",1.02,"3,009","1,800",1.67,"1,531","1,478",1.04,"3,023","1,809",1.67,"1,542","1,481",1.04
