행정구역,2022년10월_총인구수,2022년10월_세대수,2022년10월_세대당 인구,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년10월_남여 비율,2022년11월_총인구수,2022년11월_세대수,2022년11월_세대당 인구,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년11월_남여 비율,2022년12월_총인구수,2022년12월_세대수,2022년12월_세대당 인구,2022년12월_남자 인구수,2022년12월_여자 인구수,2022년12월_남여 비율,2023년01월_총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,2023년03월_총인구수,2023년03월_세대수,2023년03월_세대당 인구,2023년03월_남자 인구수,2023년03월_여자 인구수,2023년03월_남여 비율,2023년04월_총인구수,2023년04월_세대수,2023년04월_세대당 인구,2023년04월_남자 인구수,2023년04월_여자 인구수,2023년04월_남여 비율,2023년05월_총인구수,2023년05월_세대수,2023년05월_세대당 인구,2023년05월_남자 인구수,2023년05월_여자 인구수,2023년05월_남여 비율,2023년06월_총인구수,2023년06월_세대수,2023년06월_세대당 인구,2023년06월_남자 인구수,2023년06월_여자 인구수,2023년06월_남여 비율,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율,2023년08월_총인구수,2023년08월_세대수,2023년08월_세대당 인구,2023년08월_남자 인구수,2023년08월_여자 인구수,2023년08월_남여 비율,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율,2023년10월_총인구수,2023년10월_세대수,2023년10월_세대당 인구,2023년10월_남자 인구수,2023년10월_여자 인구수,2023년10월_남여 비율,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율,2023년12월_총인구수,2023년12월_세대수,2023년12월_세대당 인구,2023년12월_남자 인구수,2023년12월_여자 인구수,2023년12월_남여 비율,2024년01월_총인구수,2024년01월_세대수,2024년01월_세대당 인구,2024년01월_남자 인구수,2024년01월_여자 인구수,2024년01월_남여 비율,2024년02월_총인구수,2024년02월_세대수,2024년02월_세대당 인구,2024년02월_남자 인구수,2024년02월_여자 인구수,2024년02월_남여 비율,total population,2024년03월_세대수,2024년03월_세대당 인구,2024년03월_남자 인구수,2024년03월_여자 인구수,2024년03월_남여 비율
Boryeong ,"97,268","49,632",1.96,"49,291","47,977",1.03,"97,188","49,668",1.96,"49,231","47,957",1.03,"97,157","49,694",1.96,"49,237","47,920",1.03,"96,999","49,710",1.95,"49,154","47,845",1.03,"96,819","49,746",1.95,"49,061","47,758",1.03,"96,756","49,827",1.94,"49,036","47,720",1.03,"96,764","49,906",1.94,"49,031","47,733",1.03,"96,666","49,930",1.94,"48,956","47,710",1.03,"96,578","49,928",1.93,"48,904","47,674",1.03,"96,486","49,937",1.93,"48,867","47,619",1.03,"96,334","49,887",1.93,"48,793","47,541",1.03,"96,171","49,842",1.93,"48,702","47,469",1.03,"96,068","49,800",1.93,"48,654","47,414",1.03,"95,925","49,759",1.93,"48,578","47,347",1.03,"95,772","49,709",1.93,"48,494","47,278",1.03,"95,564","49,646",1.92,"48,365","47,199",1.02,"95,260","49,600",1.92,"48,234","47,026",1.03,"94,994","49,532",1.92,"48,112","46,882",1.03
충청남도 보령시 웅천읍(4418025000),"5,985","3,466",1.73,"3,020","2,965",1.02,"5,957","3,455",1.72,"3,005","2,952",1.02,"5,967","3,465",1.72,"3,011","2,956",1.02,"5,947","3,469",1.71,"2,999","2,948",1.02,"5,912","3,460",1.71,"2,974","2,938",1.01,"5,895","3,466",1.7,"2,973","2,922",1.02,"5,911","3,485",1.7,"2,979","2,932",1.02,"5,900","3,487",1.69,"2,967","2,933",1.01,"5,890","3,493",1.69,"2,961","2,929",1.01,"5,880","3,488",1.69,"2,956","2,924",1.01,"5,859","3,471",1.69,"2,951","2,908",1.01,"5,837","3,462",1.69,"2,939","2,898",1.01,"5,830","3,456",1.69,"2,943","2,887",1.02,"5,817","3,453",1.68,"2,937","2,880",1.02,"5,807","3,450",1.68,"2,929","2,878",1.02,"5,790","3,448",1.68,"2,919","2,871",1.02,"5,767","3,440",1.68,"2,899","2,868",1.01,"5,750","3,438",1.67,"2,900","2,850",1.02
충청남도 보령시 주포면(4418031000),"1,598",933,1.71,842,756,1.11,"1,599",928,1.72,838,761,1.1,"1,594",922,1.73,833,761,1.09,"1,577",906,1.74,824,753,1.09,"1,578",907,1.74,823,755,1.09,"1,578",915,1.72,830,748,1.11,"1,602",933,1.72,850,752,1.13,"1,602",929,1.72,848,754,1.12,"1,610",938,1.72,853,757,1.13,"1,609",933,1.72,851,758,1.12,"1,604",925,1.73,847,757,1.12,"1,591",920,1.73,836,755,1.11,"1,588",917,1.73,831,757,1.1,"1,588",915,1.74,831,757,1.1,"1,574",908,1.73,821,753,1.09,"1,574",903,1.74,818,756,1.08,"1,562",899,1.74,814,748,1.09,"1,551",892,1.74,810,741,1.09
충청남도 보령시 오천면(4418032000),"2,111","1,174",1.8,"1,124",987,1.14,"2,111","1,174",1.8,"1,126",985,1.14,"2,099","1,173",1.79,"1,122",977,1.15,"2,091","1,169",1.79,"1,118",973,1.15,"2,083","1,167",1.78,"1,116",967,1.15,"2,082","1,167",1.78,"1,114",968,1.15,"2,071","1,156",1.79,"1,105",966,1.14,"2,061","1,151",1.79,"1,099",962,1.14,"2,055","1,154",1.78,"1,100",955,1.15,"2,059","1,157",1.78,"1,102",957,1.15,"2,061","1,167",1.77,"1,108",953,1.16,"2,054","1,162",1.77,"1,104",950,1.16,"2,045","1,158",1.77,"1,102",943,1.17,"2,041","1,155",1.77,"1,095",946,1.16,"2,032","1,153",1.76,"1,085",947,1.15,"2,029","1,154",1.76,"1,083",946,1.14,"2,027","1,154",1.76,"1,079",948,1.14,"2,020","1,151",1.75,"1,075",945,1.14
충청남도 보령시 오천면어항출장소(4418032500),"1,589",852,1.87,864,725,1.19,"1,578",852,1.85,859,719,1.19,"1,575",845,1.86,853,722,1.18,"1,575",847,1.86,849,726,1.17,"1,562",845,1.85,842,720,1.17,"1,565",848,1.85,844,721,1.17,"1,576",851,1.85,850,726,1.17,"1,571",851,1.85,848,723,1.17,"1,567",851,1.84,843,724,1.16,"1,559",852,1.83,843,716,1.18,"1,557",853,1.83,841,716,1.17,"1,554",848,1.83,843,711,1.19,"1,552",847,1.83,841,711,1.18,"1,550",847,1.83,841,709,1.19,"1,545",845,1.83,840,705,1.19,"1,545",845,1.83,839,706,1.19,"1,546",843,1.83,841,705,1.19,"1,533",842,1.82,835,698,1.2
충청남도 보령시 원산도출장소(4418032800),"1,082",585,1.85,582,500,1.16,"1,075",581,1.85,579,496,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도 보령시 원산출장소(4418032900),0,0,0,0,0,0,0,0,0,0,0,0,"1,070",578,1.85,579,491,1.18,"1,065",580,1.84,579,486,1.19,"1,062",580,1.83,580,482,1.2,"1,057",579,1.83,579,478,1.21,"1,051",579,1.82,576,475,1.21,"1,045",578,1.81,571,474,1.2,"1,037",572,1.81,566,471,1.2,"1,035",574,1.8,563,472,1.19,"1,037",572,1.81,564,473,1.19,"1,039",574,1.81,565,474,1.19,"1,037",576,1.8,562,475,1.18,"1,034",576,1.8,557,477,1.17,"1,033",578,1.79,555,478,1.16,"1,038",574,1.81,553,485,1.14,"1,035",573,1.81,550,485,1.13,"1,037",577,1.8,550,487,1.13
충청남도 보령시 천북면(4418033000),"3,375","1,839",1.84,"1,752","1,623",1.08,"3,356","1,840",1.82,"1,747","1,609",1.09,"3,355","1,842",1.82,"1,745","1,610",1.08,"3,343","1,840",1.82,"1,742","1,601",1.09,"3,330","1,832",1.82,"1,738","1,592",1.09,"3,343","1,838",1.82,"1,744","1,599",1.09,"3,344","1,837",1.82,"1,745","1,599",1.09,"3,347","1,842",1.82,"1,742","1,605",1.09,"3,330","1,834",1.82,"1,738","1,592",1.09,"3,328","1,836",1.81,"1,731","1,597",1.08,"3,333","1,834",1.82,"1,733","1,600",1.08,"3,324","1,832",1.81,"1,730","1,594",1.09,"3,314","1,825",1.82,"1,729","1,585",1.09,"3,296","1,819",1.81,"1,725","1,571",1.1,"3,277","1,813",1.81,"1,723","1,554",1.11,"3,247","1,804",1.8,"1,704","1,543",1.1,"3,233","1,795",1.8,"1,696","1,537",1.1,"3,205","1,790",1.79,"1,681","1,524",1.1
충청남도 보령시 청소면(4418034000),"2,523","1,443",1.75,"1,275","1,248",1.02,"2,521","1,443",1.75,"1,271","1,250",1.02,"2,509","1,442",1.74,"1,270","1,239",1.03,"2,505","1,439",1.74,"1,268","1,237",1.03,"2,491","1,436",1.73,"1,254","1,237",1.01,"2,502","1,433",1.75,"1,262","1,240",1.02,"2,495","1,435",1.74,"1,259","1,236",1.02,"2,492","1,433",1.74,"1,256","1,236",1.02,"2,480","1,432",1.73,"1,249","1,231",1.01,"2,480","1,433",1.73,"1,249","1,231",1.01,"2,480","1,432",1.73,"1,250","1,230",1.02,"2,468","1,427",1.73,"1,245","1,223",1.02,"2,457","1,421",1.73,"1,240","1,217",1.02,"2,456","1,422",1.73,"1,244","1,212",1.03,"2,449","1,417",1.73,"1,238","1,211",1.02,"2,439","1,417",1.72,"1,234","1,205",1.02,"2,423","1,410",1.72,"1,229","1,194",1.03,"2,413","1,404",1.72,"1,222","1,191",1.03
충청남도 보령시 청라면(4418035000),"3,729","2,055",1.81,"1,874","1,855",1.01,"3,713","2,052",1.81,"1,867","1,846",1.01,"3,703","2,044",1.81,"1,869","1,834",1.02,"3,689","2,033",1.81,"1,860","1,829",1.02,"3,679","2,030",1.81,"1,851","1,828",1.01,"3,650","2,028",1.8,"1,838","1,812",1.01,"3,643","2,022",1.8,"1,836","1,807",1.02,"3,639","2,017",1.8,"1,837","1,802",1.02,"3,643","2,013",1.81,"1,837","1,806",1.02,"3,639","2,011",1.81,"1,837","1,802",1.02,"3,620","2,006",1.8,"1,828","1,792",1.02,"3,612","2,003",1.8,"1,824","1,788",1.02,"3,588","1,998",1.8,"1,810","1,778",1.02,"3,579","1,996",1.79,"1,803","1,776",1.02,"3,576","1,995",1.79,"1,800","1,776",1.01,"3,570","1,993",1.79,"1,798","1,772",1.01,"3,563","1,988",1.79,"1,800","1,763",1.02,"3,547","1,978",1.79,"1,791","1,756",1.02
