행정구역,2022년10월_총인구수,2022년10월_세대수,2022년10월_세대당 인구,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년10월_남여 비율,2022년11월_총인구수,2022년11월_세대수,2022년11월_세대당 인구,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년11월_남여 비율,2022년12월_총인구수,2022년12월_세대수,2022년12월_세대당 인구,2022년12월_남자 인구수,2022년12월_여자 인구수,2022년12월_남여 비율,2023년01월_총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,2023년03월_총인구수,2023년03월_세대수,2023년03월_세대당 인구,2023년03월_남자 인구수,2023년03월_여자 인구수,2023년03월_남여 비율,2023년04월_총인구수,2023년04월_세대수,2023년04월_세대당 인구,2023년04월_남자 인구수,2023년04월_여자 인구수,2023년04월_남여 비율,2023년05월_총인구수,2023년05월_세대수,2023년05월_세대당 인구,2023년05월_남자 인구수,2023년05월_여자 인구수,2023년05월_남여 비율,2023년06월_총인구수,2023년06월_세대수,2023년06월_세대당 인구,2023년06월_남자 인구수,2023년06월_여자 인구수,2023년06월_남여 비율,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율,2023년08월_총인구수,2023년08월_세대수,2023년08월_세대당 인구,2023년08월_남자 인구수,2023년08월_여자 인구수,2023년08월_남여 비율,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율,2023년10월_총인구수,2023년10월_세대수,2023년10월_세대당 인구,2023년10월_남자 인구수,2023년10월_여자 인구수,2023년10월_남여 비율,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율,2023년12월_총인구수,2023년12월_세대수,2023년12월_세대당 인구,2023년12월_남자 인구수,2023년12월_여자 인구수,2023년12월_남여 비율,2024년01월_총인구수,2024년01월_세대수,2024년01월_세대당 인구,2024년01월_남자 인구수,2024년01월_여자 인구수,2024년01월_남여 비율,2024년02월_총인구수,2024년02월_세대수,2024년02월_세대당 인구,2024년02월_남자 인구수,2024년02월_여자 인구수,2024년02월_남여 비율,total population,2024년03월_세대수,2024년03월_세대당 인구,2024년03월_남자 인구수,2024년03월_여자 인구수,2024년03월_남여 비율
Yeongju,"100,901","50,616",1.99,"50,023","50,878",0.98,"100,823","50,645",1.99,"49,950","50,873",0.98,"100,749","50,663",1.99,"49,920","50,829",0.98,"100,630","50,644",1.99,"49,853","50,777",0.98,"100,499","50,731",1.98,"49,793","50,706",0.98,"100,847","51,339",1.96,"50,002","50,845",0.98,"100,746","51,368",1.96,"49,955","50,791",0.98,"100,610","51,370",1.96,"49,898","50,712",0.98,"100,491","51,363",1.96,"49,834","50,657",0.98,"100,363","51,325",1.96,"49,752","50,611",0.98,"100,196","51,274",1.95,"49,659","50,537",0.98,"100,011","51,228",1.95,"49,553","50,458",0.98,"100,208","51,422",1.95,"49,745","50,463",0.99,"100,216","51,404",1.95,"49,756","50,460",0.99,"100,199","51,423",1.95,"49,730","50,469",0.99,"100,100","51,489",1.94,"49,727","50,373",0.99,"99,966","51,487",1.94,"49,672","50,294",0.99,"100,072","51,815",1.93,"49,729","50,343",0.99
경상북도 영주시 풍기읍(4721025000),"10,312","5,493",1.88,"5,132","5,180",0.99,"10,306","5,499",1.87,"5,128","5,178",0.99,"10,306","5,507",1.87,"5,134","5,172",0.99,"10,267","5,483",1.87,"5,104","5,163",0.99,"10,245","5,488",1.87,"5,105","5,140",0.99,"10,482","5,756",1.82,"5,248","5,234",1,"10,497","5,769",1.82,"5,252","5,245",1,"10,483","5,780",1.81,"5,249","5,234",1,"10,482","5,789",1.81,"5,251","5,231",1,"10,462","5,775",1.81,"5,232","5,230",1,"10,449","5,766",1.81,"5,226","5,223",1,"10,427","5,762",1.81,"5,207","5,220",1,"10,551","5,899",1.79,"5,339","5,212",1.02,"10,536","5,893",1.79,"5,334","5,202",1.03,"10,515","5,882",1.79,"5,325","5,190",1.03,"10,558","5,942",1.78,"5,390","5,168",1.04,"10,553","5,933",1.78,"5,396","5,157",1.05,"10,580","5,978",1.77,"5,417","5,163",1.05
경상북도 영주시 이산면(4721031000),"2,236","1,190",1.88,"1,159","1,077",1.08,"2,225","1,189",1.87,"1,149","1,076",1.07,"2,216","1,186",1.87,"1,147","1,069",1.07,"2,226","1,193",1.87,"1,149","1,077",1.07,"2,233","1,198",1.86,"1,159","1,074",1.08,"2,240","1,201",1.87,"1,158","1,082",1.07,"2,239","1,201",1.86,"1,155","1,084",1.07,"2,229","1,199",1.86,"1,145","1,084",1.06,"2,231","1,197",1.86,"1,148","1,083",1.06,"2,231","1,203",1.85,"1,145","1,086",1.05,"2,227","1,198",1.86,"1,141","1,086",1.05,"2,210","1,195",1.85,"1,129","1,081",1.04,"2,200","1,190",1.85,"1,124","1,076",1.04,"2,193","1,187",1.85,"1,121","1,072",1.05,"2,193","1,185",1.85,"1,127","1,066",1.06,"2,194","1,180",1.86,"1,127","1,067",1.06,"2,199","1,189",1.85,"1,133","1,066",1.06,"2,195","1,190",1.84,"1,132","1,063",1.06
경상북도 영주시 평은면(4721032000),"1,422",806,1.76,727,695,1.05,"1,415",803,1.76,720,695,1.04,"1,424",808,1.76,725,699,1.04,"1,431",811,1.76,725,706,1.03,"1,428",810,1.76,725,703,1.03,"1,426",809,1.76,728,698,1.04,"1,427",804,1.77,731,696,1.05,"1,421",802,1.77,726,695,1.04,"1,417",799,1.77,722,695,1.04,"1,414",796,1.78,722,692,1.04,"1,410",795,1.77,721,689,1.05,"1,394",792,1.76,713,681,1.05,"1,391",792,1.76,713,678,1.05,"1,392",794,1.75,716,676,1.06,"1,405",797,1.76,722,683,1.06,"1,410",805,1.75,725,685,1.06,"1,413",807,1.75,727,686,1.06,"1,401",807,1.74,720,681,1.06
경상북도 영주시 문수면(4721033000),"1,925","1,118",1.72,"1,000",925,1.08,"1,928","1,116",1.73,"1,001",927,1.08,"1,930","1,118",1.73,"1,000",930,1.08,"1,931","1,116",1.73,"1,002",929,1.08,"1,938","1,125",1.72,"1,002",936,1.07,"1,934","1,125",1.72,"1,000",934,1.07,"1,932","1,124",1.72,"1,002",930,1.08,"1,943","1,131",1.72,"1,009",934,1.08,"1,947","1,135",1.72,"1,008",939,1.07,"1,942","1,134",1.71,"1,001",941,1.06,"1,940","1,132",1.71,"1,001",939,1.07,"1,925","1,128",1.71,993,932,1.07,"1,925","1,130",1.7,995,930,1.07,"1,920","1,126",1.71,989,931,1.06,"1,919","1,126",1.7,984,935,1.05,"1,917","1,125",1.7,990,927,1.07,"1,914","1,125",1.7,989,925,1.07,"1,909","1,118",1.71,988,921,1.07
경상북도 영주시 장수면(4721034000),"2,109","1,170",1.8,"1,072","1,037",1.03,"2,100","1,174",1.79,"1,070","1,030",1.04,"2,101","1,176",1.79,"1,071","1,030",1.04,"2,108","1,177",1.79,"1,075","1,033",1.04,"2,103","1,173",1.79,"1,074","1,029",1.04,"2,103","1,177",1.79,"1,074","1,029",1.04,"2,092","1,170",1.79,"1,070","1,022",1.05,"2,093","1,170",1.79,"1,073","1,020",1.05,"2,095","1,172",1.79,"1,074","1,021",1.05,"2,085","1,168",1.79,"1,071","1,014",1.06,"2,076","1,167",1.78,"1,062","1,014",1.05,"2,074","1,165",1.78,"1,063","1,011",1.05,"2,071","1,162",1.78,"1,058","1,013",1.04,"2,075","1,167",1.78,"1,061","1,014",1.05,"2,078","1,171",1.77,"1,064","1,014",1.05,"2,068","1,172",1.76,"1,057","1,011",1.05,"2,058","1,174",1.75,"1,051","1,007",1.04,"2,056","1,173",1.75,"1,045","1,011",1.03
경상북도 영주시 안정면(4721035000),"2,885","1,591",1.81,"1,431","1,454",0.98,"2,890","1,597",1.81,"1,436","1,454",0.99,"2,874","1,591",1.81,"1,429","1,445",0.99,"2,875","1,593",1.8,"1,427","1,448",0.99,"2,878","1,603",1.8,"1,430","1,448",0.99,"2,862","1,601",1.79,"1,427","1,435",0.99,"2,851","1,601",1.78,"1,425","1,426",1,"2,843","1,596",1.78,"1,422","1,421",1,"2,844","1,595",1.78,"1,419","1,425",1,"2,853","1,598",1.79,"1,422","1,431",0.99,"2,844","1,597",1.78,"1,417","1,427",0.99,"2,843","1,596",1.78,"1,418","1,425",1,"2,851","1,598",1.78,"1,425","1,426",1,"2,855","1,598",1.79,"1,432","1,423",1.01,"2,846","1,597",1.78,"1,430","1,416",1.01,"2,841","1,593",1.78,"1,433","1,408",1.02,"2,843","1,591",1.79,"1,433","1,410",1.02,"2,837","1,595",1.78,"1,432","1,405",1.02
경상북도 영주시 봉현면(4721036000),"2,631","1,400",1.88,"1,347","1,284",1.05,"2,629","1,403",1.87,"1,345","1,284",1.05,"2,624","1,401",1.87,"1,342","1,282",1.05,"2,622","1,405",1.87,"1,340","1,282",1.05,"2,607","1,407",1.85,"1,330","1,277",1.04,"2,605","1,411",1.85,"1,326","1,279",1.04,"2,606","1,414",1.84,"1,322","1,284",1.03,"2,614","1,420",1.84,"1,322","1,292",1.02,"2,600","1,417",1.83,"1,311","1,289",1.02,"2,590","1,413",1.83,"1,304","1,286",1.01,"2,581","1,408",1.83,"1,301","1,280",1.02,"2,574","1,402",1.84,"1,299","1,275",1.02,"2,574","1,399",1.84,"1,301","1,273",1.02,"2,561","1,396",1.83,"1,301","1,260",1.03,"2,566","1,401",1.83,"1,295","1,271",1.02,"2,555","1,399",1.83,"1,291","1,264",1.02,"2,552","1,402",1.82,"1,289","1,263",1.02,"2,551","1,403",1.82,"1,292","1,259",1.03
경상북도 영주시 순흥면(4721037000),"1,965","1,120",1.75,986,979,1.01,"1,951","1,119",1.74,974,977,1,"1,953","1,118",1.75,978,975,1,"1,946","1,117",1.74,975,971,1,"1,945","1,128",1.72,982,963,1.02,"1,935","1,125",1.72,982,953,1.03,"1,926","1,127",1.71,982,944,1.04,"1,928","1,123",1.72,983,945,1.04,"1,922","1,121",1.71,981,941,1.04,"1,914","1,120",1.71,977,937,1.04,"1,912","1,117",1.71,976,936,1.04,"1,902","1,110",1.71,971,931,1.04,"1,899","1,110",1.71,970,929,1.04,"1,893","1,106",1.71,966,927,1.04,"1,878","1,096",1.71,953,925,1.03,"1,886","1,099",1.72,953,933,1.02,"1,883","1,098",1.71,949,934,1.02,"1,899","1,119",1.7,965,934,1.03
경상북도 영주시 단산면(4721038000),"1,818","1,081",1.68,887,931,0.95,"1,803","1,073",1.68,879,924,0.95,"1,797","1,074",1.67,876,921,0.95,"1,797","1,074",1.67,875,922,0.95,"1,795","1,072",1.67,876,919,0.95,"1,804","1,075",1.68,882,922,0.96,"1,801","1,080",1.67,882,919,0.96,"1,784","1,071",1.67,872,912,0.96,"1,785","1,077",1.66,875,910,0.96,"1,787","1,072",1.67,877,910,0.96,"1,773","1,066",1.66,872,901,0.97,"1,774","1,066",1.66,869,905,0.96,"1,778","1,071",1.66,870,908,0.96,"1,770","1,069",1.66,869,901,0.96,"1,762","1,067",1.65,865,897,0.96,"1,758","1,069",1.64,863,895,0.96,"1,759","1,074",1.64,866,893,0.97,"1,754","1,071",1.64,863,891,0.97
