±âÁØ¿¬¿ù,Áö¿ª¸í,°Ë»ö·®(°Ç)
202210,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,17585
202211,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,15951
202212,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,16349
202301,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,18980
202302,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,17552
202303,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,19937
202304,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,19793
202305,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,22273
202306,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,24244
202307,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,23105
202308,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,27307
202309,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,22690
202310,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,25478
202311,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,22935
202312,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,27118
202401,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,27090
202402,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,23267
202403,°æ»óºÏµµ Æ÷Ç×½Ã ºÏ±¸ ,25298
